Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
Trading Analyst (Pilot),TurnkeyID,Yogyakarta,Rp 4.000.000 – Rp 6.000.000 per month,5 hari yang lalu,4000000.0,6000000.0,5000000.0,TurnkeyID,Yogyakarta,5 hari yang lalu
ETL Pentaho Developer,PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,Jakarta Pusat,Gaji tidak disebutkan,5 hari yang lalu,,,,PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,Jakarta Pusat,5 hari yang lalu
Data Engineer Associate,OTTO Digital,Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu,,,,OTTO Digital,Kebayoran Lama,5 hari yang lalu
Data Analyst Associate,OTTO Digital,Kebayoran Lama,Gaji tidak disebutkan,5 hari yang lalu,,,,OTTO Digital,Kebayoran Lama,5 hari yang lalu
Food Safety Data Analyst,PT. Bionic Natura,Kecamatan Tangerang,Gaji tidak disebutkan,5 hari yang lalu,,,,PT. Bionic Natura,Kecamatan Tangerang,5 hari yang lalu
Analyst Laboratorium Staff,PT Inti Surya Laboratorium,Cisauk,Rp 4.200.000 – Rp 5.000.000 per month,5 hari yang lalu,4200000.0,5000000.0,4600000.0,PT Inti Surya Laboratorium,Cisauk,5 hari yang lalu
Research Ops,Aleph,Jakarta Raya,Gaji tidak disebutkan,5 hari yang lalu,,,,Aleph,Jakarta Raya,5 hari yang lalu
Client Data Lead | Fen X,Macquarie Group,Indonesia,Gaji tidak disebutkan,5 hari yang lalu,,,,Macquarie Group,Indonesia,5 hari yang lalu
Akseptasi,PT. Asuransi Umum BCA,Jakarta Raya,Gaji tidak disebutkan,5 hari yang lalu,,,,PT. Asuransi Umum BCA,Jakarta Raya,5 hari yang lalu
AI Engineer,PT. UNIVERSAL BAHTERA INDO,Kosambi,Gaji tidak disebutkan,5 hari yang lalu,,,,PT. UNIVERSAL BAHTERA INDO,Kosambi,5 hari yang lalu
Operational Compliance & Data Monitoring Officer,PT Chateraise Gobel Indonesia,Jakarta Selatan,Gaji tidak disebutkan,5 hari yang lalu,,,,PT Chateraise Gobel Indonesia,Jakarta Selatan,5 hari yang lalu
